Nom Film,Resume,date,heure,Type ,Réalisateur,Acteur,Note presse,Note Public
J'accuse,"""Pendant les 12 années qu’elle dura, l’Affaire Dreyfus déchira la France, provoquant un véritable séisme dans le monde entier. Dans cet immense scandale, le plus grand sans doute de la fin du XIXème siècle, se mêlent erreur judiciaire, déni de justice et antisémitisme.""","13 novembre 2019
","
2h 12min
","""
Drame,
Historique,
 Thriller""","
Roman Polanski","""
Jean Dujardin,
Louis Garrel,
Emmanuelle Seigner""","""4,0""","""3,8"""
Madagascar,"""Lorsqu'un lion, un zèbre, une girafe, un hippopotame et une poignée de pingouins psychotiques fuient leur zoo new-yorkais pour secourir l'un des leurs, l'aventure s'écrit avec un grand A...""","22 juin 2005
","
1h 26min
","""
Aventure,
Animation,
Comédie""","""
Eric Darnell,
Tom McGrath""","""
José Garcia,

Ben Stiller,
Anthony Kavanagh""","""3,6""","""3,5"""
Les Désastreuses aventures des orphelins Baudelaire,"""A la suite d'un incendie qui tua leurs parents, trois petits orphelins, Sunny, Klaus et Violet Baudelaire, sont recueillis par Lemony Snicket qui les protège du méchant comte Olaf.""","22 décembre 2004
","
1h 48min
","""
Comédie,
Fantastique""","
Brad Silberling","""
Jim Carrey,
Meryl Streep,
Jude Law""","""3,8""","""3,4"""
Kick-Ass,L'histoire suit un lycéen que personne ne remarque nommé Dave Lizewski. Il décide de devenir un super-héros alors qu'il ne dispose d'aucune aptitude physique particulière. Les choses changent lorsqu'il finit par rencontrer un vrai méchant...,"21 avril 2010
","
1h 57min
","""
Action,
Drame""","
Matthew Vaughn","""
Aaron Taylor-Johnson,

Nicolas Cage,
Chloë Grace Moretz""","""3,5""","""4,0"""
Mon beau-père et moi,"""Greg Focker, un modeste infirmier de Chicago, vit depuis deux mois avec la charmante Pam Byrnes et rêve d'officialiser leur union. Ravie de sa proposition, la jeune femme insiste pour un strict respect des règles bourgeoises : Greg devra obtenir l'accord de son père, Jack.Deux semaines plus tard, le couple fait son apparition dans la luxueuse ...""","3 janvier 2001
","
1h 47min
","""
Comédie,
Romance""","
Jay Roach","""
Robert De Niro,
Ben Stiller,
Teri Polo""","""3,4""","""3,4"""
Lord of War,"""L'ascension irrésistible d'un trafiquant d'armes dans le monde du crime, aux quatre coins du monde, au gré des guerres et des luttes de pouvoir, ses trahisons, ses amours, et la traque que lui mène sans relâche un agent du FBI qui a juré sa perte...""","4 janvier 2006
","
2h 02min
","""
Action,
Drame,
Thriller""","
Andrew Niccol","""
Nicolas Cage,
Ethan Hawke,
Jared Leto""","""3,7""","""4,2"""
Shooter tireur d'élite,"""Doublé sur un contrat, un tueur à gages est pourtant accusé du meurtre. Il va devoir échapper au FBI et retrouver le tueur...""","18 avril 2007
","
2h 04min
","""
Action,
Policier""","
Antoine Fuqua","""
Mark Wahlberg,
Michael Peña,
Rhona Mitra""","""2,3""","""3,4"""
Blood Diamond,"""En Sierra Leone, un homme, spécialisé dans la contrebande de diamants utilisés pour financer la guerre civile, fait la connaissance d'un fermier, dont le fils a été enrôlé dans l'armée rebelle. Cette rencontre bouleversera la vie de l'aventurier.""","31 janvier 2007
","
2h 23min
","""
Aventure,
Drame,
Thriller""","
Edward Zwick","""
Leonardo DiCaprio,
Djimon Hounsou,
Jennifer Connelly""","""3,5""","""4,1"""
Tamara,"""Tamara, 15 ans, complexée par ses rondeurs, décide à son entrée en seconde de se débarrasser de son étiquette de « grosse ». Pour clouer le bec des mauvaises langues, elle fait le pari avec sa meilleure amie de sortir avec le premier garçon qui passera la porte de la classe.""","26 octobre 2016
","
1h 40min
","
Comédie","
Alexandre Castagnetti","""
Héloïse Martin,
Sylvie Testud,
Cyril Gueï""","""3,2""","""3,4"""
Gangster Squad,"""Los Angeles, 1949. Mickey Cohen, originaire de Brooklyn, est un parrain impitoyable de la mafia qui dirige la ville et récolte les biens mal acquis de la drogue, des armes, des prostituées et – s’il arrive à ses fins – de tous les paris à l’ouest de Chicago.""","6 février 2013
","
1h 53min
","""
Action,
Policier,
Drame""","
Ruben Fleischer","""
Josh Brolin,
Ryan Gosling,
Sean Penn""","""2,4""","""3,6"""
